key,method,problem,status,enc_time,total_solve_time,vars,cls,lits
1,SavileRow (GT),./experiments/mbkp-control/lps/1/1_00.lp,Unknown,133.7608,,554139,108858456,326369662
1,GT + Bin,./experiments/mbssp/lps/1/001.lp,Sat,0.51622945,2.1958747,6470,33306,107379
1,SavileRow (GT),./experiments/mbssp-control/lps/1/001.lp,Sat,5.7275944,0.10697017,45394,2797667,8371058
1,GT + Bin,./experiments/mbkp/lps/1/1_00.lp,Unknown,0.85215175,,14686,75703,246158
2,GT + Mix(25),./experiments/mbkp/lps/1/1_00.lp,Unknown,0.8567258,,13998,53508,180821
2,GT + Mix(25),./experiments/mbssp/lps/1/001.lp,Sat,0.5445238,3.1500351,6189,53900,158276
2,SavileRow (SWC),./experiments/mbssp-control/lps/1/001.lp,Sat,3.2098475,54.75313,575407,1123872,2780398
2,SavileRow (SWC),./experiments/mbkp-control/lps/1/1_00.lp,Unknown,13.73797,,1808010,18196020,50251060
3,SavileRow (BDD),./experiments/mbssp-control/lps/1/001.lp,Unknown,2.355957,,147089,283210,702540
3,SavileRow (BDD),./experiments/mbkp-control/lps/1/1_00.lp,Unknown,8.179087,,570086,5584844,15300074
3,GT + Mix(75),./experiments/mbkp/lps/1/1_00.lp,Unknown,0.8559598,,14041,53676,181299
3,GT + Mix(75),./experiments/mbssp/lps/1/001.lp,Sat,0.54804516,3.2418025,6189,53900,158276
4,SavileRow (GPW),./experiments/mbkp-control/lps/1/1_00.lp,Unsat,3.0545409,11.735484,83216,288603,727336
4,SavileRow (GPW),./experiments/mbssp-control/lps/1/001.lp,Sat,1.6398065,4.9885845,18336,84236,234352
5,GT + Ord,./experiments/mbkp/lps/1/1_00.lp,Unknown,5.9511747,,80262,7744230,19461375
5,GT + Ord,./experiments/mbssp/lps/1/001.lp,Unknown,4.106352,,29447,4870108,12915983
6,SavileRow (GMTO),./experiments/mbkp-control/lps/1/1_00.lp,Unsat,4.08605,1.6003247,49635,179137,483994
6,SavileRow (GMTO),./experiments/mbssp-control/lps/1/001.lp,Sat,1.6855149,7.7022886,17518,38256,111304
6,BDD + Bin,./experiments/mbkp/lps/1/1_00.lp,Unknown,0.3210456,,22020,96895,290211
6,BDD + Bin,./experiments/mbssp/lps/1/001.lp,Sat,0.10886821,3.33757,9539,43001,128683
7,Fun-sCOP (),./experiments/mbssp-control/lps/1/001.lp,Unknown,4.288991,,150657,426713,1255069
7,BDD + Mix(25),./experiments/mbkp/lps/1/1_00.lp,Unknown,0.3222257,,25701,110765,355594
7,Fun-sCOP (),./experiments/mbkp-control/lps/1/1_00.lp,Unsat,12.345813,15.934329,1172227,3297688,9566893
7,BDD + Mix(25),./experiments/mbssp/lps/1/001.lp,Memory,,,,,
8,BDD + Mix(75),./experiments/mbkp/lps/1/1_00.lp,Unknown,0.3284719,,28132,111686,358080
8,BDD + Mix(75),./experiments/mbssp/lps/1/001.lp,Memory,,,,,
10,Picat-SAT,./experiments/mbkp-control/lps/1/1_00.lp,Unsat,1.1562222,20.743628,26703,208925,943531
10,BDD + Ord,./experiments/mbssp/lps/1/001.lp,Sat,0.46966836,46.553432,112023,441373,1099542
10,BDD + Ord,./experiments/mbkp/lps/1/1_00.lp,Unknown,0.8750913,,341665,678866,1689321
10,Picat-SAT,./experiments/mbssp-control/lps/1/001.lp,Sat,1.0021813,11.174255,4737,28117,106420
11,GT + SPLIT + PB + Ord,./experiments/mbkp/lps/1/1_00.lp,Unknown,5.8859987,,80262,7744230,19461375
